timestamp,cmd_v,cmd_w
1739998159525609846,0.0,0.0
1739998159525667134,1.0,0.0
1739998159562502192,0.0,0.0
1739998159562534880,1.0,0.0
1739998159585006488,0.0,0.0
1739998159585037700,1.0,0.0
1739998159620495530,0.0,0.0
1739998159620526960,1.0,0.0
1739998159646027218,0.0,0.0
1739998159646048294,1.0,0.0
1739998159675434772,0.0,0.0
1739998159675462546,1.0,0.0
1739998159705342531,0.0,0.0
1739998159705377710,1.0,0.0
1739998159735328198,0.0,0.0
1739998159735366173,1.0,0.0
1739998159765347942,0.0,0.0
1739998159765379828,1.0,0.0
1739998159795722099,0.0,0.0
1739998159795754275,1.0,0.0
1739998159828927718,0.0,0.0
1739998159828953241,1.0,0.0
1739998159858619743,0.0,0.0
1739998159858653895,1.0,0.0
1739998159886288498,0.0,0.0
1739998159886320615,1.0,0.0
1739998159918921839,0.0,0.0
1739998159918953436,1.0,0.0
1739998159948304033,0.0,0.0
1739998159948348220,1.0,0.0
1739998159978939740,0.0,0.0
1739998159978986943,1.0,0.0
1739998160008540675,0.0,0.0
1739998160008587922,1.0,0.0
1739998160038633607,0.0,0.0
1739998160038683407,1.0,0.0
1739998160076663898,0.0,0.0
1739998160076704399,1.0,0.0
1739998160098087011,0.0,0.0
1739998160098111396,1.0,0.0
1739998160128909116,0.0,0.0
1739998160128944943,1.0,0.0
1739998160158917815,0.0,0.0
1739998160158948678,1.0,0.0
1739998160188451193,0.0,0.0
1739998160188480960,1.0,0.0
1739998160219685657,0.0,0.0
1739998160219727492,1.0,0.0
1739998160249328993,0.0,0.0
1739998160249361618,1.0,0.0
1739998160280745267,0.0,0.0
1739998160280773442,1.0,0.0
1739998160309844904,0.0,0.0
1739998160309876914,1.0,0.0
1739998160340064481,0.0,0.0
1739998160340098680,1.0,0.0
1739998160373030590,0.0,0.0
1739998160373060285,1.0,0.0
1739998160405961649,0.0,0.0
1739998160405986703,1.0,0.0
1739998160431302467,0.0,0.0
1739998160431342553,1.0,0.0
1739998160466712964,0.0,0.0
1739998160466746855,1.0,0.0
1739998160490889884,0.0,0.0
1739998160490925014,1.0,0.0
1739998160523442025,0.0,0.0
1739998160523504921,1.0,0.0
1739998160555305341,0.0,0.0
1739998160555358099,1.0,0.0
1739998160581351518,0.0,0.0
1739998160581383449,1.0,0.0
1739998160612149671,0.0,0.0
1739998160612181259,1.0,0.0
1739998160643306323,0.0,0.0
1739998160643336469,1.0,0.0
1739998160675297404,0.0,0.0
1739998160675349431,1.0,0.0
1739998160678498256,0.0,0.0
